Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,MoopelFrontend.Client\MoopelFrontend.Client.csproj,File,MoopelFrontend.Client\MoopelFrontend.Client.csproj,,,,,,,,Current target framework: net10.0 Recommended target framework: net11.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MoopelFrontend.Client\MoopelFrontend.Client.csproj,File,MoopelFrontend.Client\Startup.cs,100,12,T:System.Uri,,,,,"client.BaseAddress = new Uri(options.BaseUrl, UriKind.Absolute);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MoopelFrontend.Client\MoopelFrontend.Client.csproj,File,MoopelFrontend.Client\Startup.cs,100,12,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"client.BaseAddress = new Uri(options.BaseUrl, UriKind.Absolute);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MoopelFrontend.Client\MoopelFrontend.Client.csproj,File,MoopelFrontend.Client\Startup.cs,100,12,T:System.Uri,,,,,"client.BaseAddress = new Uri(options.BaseUrl, UriKind.Absolute);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MoopelFrontend.Client\MoopelFrontend.Client.csproj,File,MoopelFrontend.Client\Startup.cs,84,8,T:System.Uri,,,,,"_builder.Services.AddOptions<MoopelApiOptions>()              .Bind(_builder.Configuration.GetRequiredSection(nameof(MoopelApiOptions)))              .Validate(options => Uri.TryCreate(options.BaseUrl, UriKind.Absolute, out _),                  $""'{""MoopelApi""}:{nameof(MoopelApiOptions.BaseUrl)}' must be an absolute URI."")              .ValidateOnStart();"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MoopelFrontend.Client\MoopelFrontend.Client.csproj,File,MoopelFrontend.Client\Startup.cs,84,8,"M:System.Uri.TryCreate(System.String,System.UriKind,System.Uri@)",,,,,"_builder.Services.AddOptions<MoopelApiOptions>()              .Bind(_builder.Configuration.GetRequiredSection(nameof(MoopelApiOptions)))              .Validate(options => Uri.TryCreate(options.BaseUrl, UriKind.Absolute, out _),                  $""'{""MoopelApi""}:{nameof(MoopelApiOptions.BaseUrl)}' must be an absolute URI."")              .ValidateOnStart();"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,MoopelFrontend\MoopelFrontend.csproj,File,MoopelFrontend\MoopelFrontend.csproj,,,,,,,,Current target framework: net10.0 Recommended target framework: net11.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MoopelFrontend\MoopelFrontend.csproj,File,MoopelFrontend\obj\Debug\net10.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\View/Components/Auth/RedirectToLogin_razor.g.cs,177,12,T:System.Uri,,,,,"NavigationManager.NavigateTo($""{PageRoutes.Login}?{PageRoutes.ReturnUrlParameter}={Uri.EscapeDataString(returnUrl)}"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MoopelFrontend\MoopelFrontend.csproj,File,MoopelFrontend\Startup.cs,136,12,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String,System.Boolean)",,,,,"app.UseExceptionHandler(""/Error"", createScopeForErrors: true);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MoopelFrontend\MoopelFrontend.csproj,File,MoopelFrontend\Startup.cs,97,12,T:System.Uri,,,,,"client.BaseAddress = new Uri(options.BaseUrl, UriKind.Absolute);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MoopelFrontend\MoopelFrontend.csproj,File,MoopelFrontend\Startup.cs,97,12,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"client.BaseAddress = new Uri(options.BaseUrl, UriKind.Absolute);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MoopelFrontend\MoopelFrontend.csproj,File,MoopelFrontend\Startup.cs,97,12,T:System.Uri,,,,,"client.BaseAddress = new Uri(options.BaseUrl, UriKind.Absolute);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MoopelFrontend\MoopelFrontend.csproj,File,MoopelFrontend\Startup.cs,80,8,T:System.Uri,,,,,"_builder.Services.AddOptions<MoopelApiOptions>()              .Bind(_builder.Configuration.GetRequiredSection(nameof(MoopelApiOptions)))              .Validate(options => Uri.TryCreate(options.BaseUrl, UriKind.Absolute, out _),                  $""'{nameof(MoopelApiOptions)}:{nameof(MoopelApiOptions.BaseUrl)}' must be an absolute URI."")              .ValidateOnStart();"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MoopelFrontend\MoopelFrontend.csproj,File,MoopelFrontend\Startup.cs,80,8,"M:System.Uri.TryCreate(System.String,System.UriKind,System.Uri@)",,,,,"_builder.Services.AddOptions<MoopelApiOptions>()              .Bind(_builder.Configuration.GetRequiredSection(nameof(MoopelApiOptions)))              .Validate(options => Uri.TryCreate(options.BaseUrl, UriKind.Absolute, out _),                  $""'{nameof(MoopelApiOptions)}:{nameof(MoopelApiOptions.BaseUrl)}' must be an absolute URI."")              .ValidateOnStart();"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,MoopelFrontend.Shared\MoopelFrontend.Shared.csproj,File,MoopelFrontend.Shared\MoopelFrontend.Shared.csproj,,,,,,,,Current target framework: net10.0 Recommended target framework: net11.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MoopelFrontend.Shared\MoopelFrontend.Shared.csproj,File,MoopelFrontend.Shared\Services\MoopelApiService.cs,104,8,T:System.Net.Http.HttpContent,,,,,string rawBody = await response.Content.ReadAsStringAsync(cancellationToken);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MoopelFrontend.Shared\MoopelFrontend.Shared.csproj,File,MoopelFrontend.Shared\Services\MoopelApiService.cs,88,16,T:System.Net.Http.HttpContent,,,,,"T? value = await response.Content.ReadFromJsonAsync<T>(JsonOptions, cancellationToken);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MoopelFrontend.Shared\MoopelFrontend.Shared.csproj,File,MoopelFrontend.Shared\Services\MoopelApiService.cs,55,12,T:System.Net.Http.HttpContent,,,,,"request.Content = JsonContent.Create(body, options: JsonOptions);"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,MoopelFrontend.Tests\MoopelFrontend.Tests.csproj,File,MoopelFrontend.Tests\MoopelFrontend.Tests.csproj,,,,,,,,Current target framework: net10.0 Recommended target framework: net11.0
